feature1,feature2
5.62432424828347,1.08468538335757
3.03605914342098,1.41456520879589
5.77909511882838,1.60064882527899
6.27570998741806,1.83810137619339
5.9022702106836,2.60508338631394
5.5163506002226,1.07951414224051
5.49657409353925,1.94773997366457
4.45421244472727,0.446070761115244
4.98488430689785,2.61094826819143
3.87712507026798,2.45631576823491
5.9112302854322,1.15574611290174
3.57465577733339,1.97532475241168
6.84110081221259,1.49598261560897
3.46780708058361,3.85193231078192
5.04983643446807,3.9761157207806
4.47057035092194,2.44486264446596
7.48600197379272,3.29102076024262
6.5026323680347,1.89305518935569
3.04453703765423,2.77703377246129
1.83681432588258,1.75206130391382
5.09561128093191,1.16485445815428
3.85277821825525,3.14104828736241
2.18740959395689,2.29134288083227
2.19814851927678,1.04693410248931
7.34416181977263,2.97965612557904
6.19297003806733,2.49530198154527
5.29674753235131,2.22782796408017
2.72352325739619,2.12327527659706
6.6407665239166,1.48111096861639
5.12018714265257,2.16100095478833
2.90922908803257,2.84664370878909
4.61312887369009,0.984319874186984
4.06825943870029,0.890119607649451
5.16215353252402,2.8106765370818
3.59150117309442,2.32126925933611
3.39304906611502,2.10053546145664
5.40056258578608,1.43401381037487
2.164854738825,1.18192260287544
3.87110910542142,2.64201934943866
5.60561699261012,1.77455110675752
3.85321921668484,1.03327348618689
5.4634351146445,2.39336674411753
4.92579696380514,1.50076275708162
3.84080842080522,2.81264818538136
6.18340491310571,2.97559495634331
5.19527751169991,1.98736171413955
6.36309676356013,2.18951233442644
5.6760463024613,2.02378878845583
3.39661239305714,2.2746243424086
6.80188535876219,2.48726626872655
5.49569310101379,1.37873405328968
4.74671895565812,2.75676346507099
6.79427284562355,2.11660884377248
4.34034034866913,1.02060008928775
7.56134030256135,1.29938183639945
4.42400479148886,2.26758191060717
4.10421708353705,1.08116783330946
6.50259285202066,1.3045920366449
5.39268323760988,1.28835647288155
3.86600228744078,3.1206534239343
5.09746059987263,2.34194373563622
7.33349908989383,2.67855477614533
4.64887811300068,1.61394367335742
